"suffix","n","GEOID"
"Dr",720,"37031"
"Rd",562,"20149"
"Rd",1101,"26075"
"Dr",1124,"48091"
"Rd",349,"25019"
"Rd",472,"45009"
"St",388,"48007"
"Rd",637,"13019"
"St",386,"18165"
"Rd",689,"26143"
"Ln",516,"37005"
"Rd",761,"06035"
"St",92,"51610"
"Dr",1033,"12081"
"Rd",889,"39119"
"St",197,"08015"
"St",57,"08025"
"St",380,"08043"
"Rd",1250,"28109"
"Rd",486,"28111"
"Rd",406,"31041"
"Rd",528,"12013"
"Dr",821,"21117"
"St",317,"19037"
"St",740,"17037"
"St",271,"19081"
"St",133,"38089"
"Rd",310,"26095"
"Rd",795,"40019"
"Dr",287,"37139"
"Rd",1210,"35055"
"Rd",599,"28011"
"St",1047,"32023"
"Rd",1121,"47073"
"Rd",91,"38011"
"Rd",386,"42057"
"Dr",1850,"22055"
"Rd",366,"48237"
"St",161,"17175"
"Rd",315,"40055"
"St",83,"48211"
"Rd",465,"16069"
"St",331,"46129"
"Ct",528,"06055"
"Ave",115,"40033"
"Rd",982,"29221"
"Rd",1115,"36011"
"St",109,"48417"
"Rd",621,"48407"
"St",582,"19061"
"Rd",410,"51075"
"St",73,"20181"
"Rd",748,"39139"
"St",1105,"17001"
"Rd",349,"39021"
"Rd",1370,"33019"
"Rd",1082,"17075"
"St",585,"19157"
"Rd",607,"39169"
"Dr",538,"13113"
"Rd",499,"13141"
"Rd",410,"48259"
"Rd",1246,"36039"
"Rd",429,"51137"
"Rd",579,"40089"
"Rd",531,"13277"
"St",576,"31025"
"St",308,"46077"
"Rd",317,"56009"
"Rd",1233,"36043"
"St",16,"38047"
"Rd",585,"26053"
"Rd",562,"27005"
"Rd",1151,"01095"
"Rd",496,"47173"
"Rd",425,"54057"
"Rd",755,"55003"
"Rd",330,"17053"
"Ave",60,"38029"
"Rd",1913,"06089"
"Rd",1130,"22113"
"Rd",418,"05121"
"Rd",1380,"55085"
"Rd",174,"22035"
"Ln",216,"22037"
"Dr",297,"22087"
"St",656,"48481"
"St",160,"02198"
"St",72,"02195"
"St",248,"48153"
"St",40,"02275"
"Dr",831,"21151"
"Dr",1065,"47009"
"Rd",1250,"30031"
"Dr",964,"45031"
"Rd",734,"01053"
"Rd",579,"13143"
"St",581,"20001"
"St",374,"17041"
"Rd",258,"51079"
"Ave",289,"55137"
"Rd",260,"05065"
"Rd",1460,"06053"
"Rd",794,"35017"
